Date,Site,SH,TotalWeight,Dermo Mantle,Dermo Gill,Presence Mantle,Presence Gill,PresenceBoth,Intensity,StDev,Sample,Temp,Sal,Month,LogInt,Season
6/6/2018,SL,49.05,18.84,0,0,0.00,0.00,0.00,0.00,0,1981,29.17,1.41,Jun,0,Wet
6/6/2018,SL,36.73,11.59,0,0,0.00,0.00,0.00,0.00,0,1982,29.17,1.41,Jun,0,Wet
6/6/2018,SL,28.06,3.02,0.5,0,1.00,0.00,1.00,0.25,0.353553391,1983,29.17,1.41,Jun,0.096910013,Wet
6/6/2018,SL,35.34,7.49,0,0,0.00,0.00,0.00,0.00,0,1984,29.17,1.41,Jun,0,Wet
6/6/2018,SL,33.24,4.83,0,0,0.00,0.00,0.00,0.00,0,1985,29.17,1.41,Jun,0,Wet
8/8/2018,SL,32.08,Z,0,0,0.00,0.00,0.00,0.00,0,1986,30.63,6.31,Aug,0,Wet
8/8/2018,SL,31.43,Z,0,0,0.00,0.00,0.00,0.00,0,1987,30.63,6.31,Aug,0,Wet
8/8/2018,SL,36.02,Z,0,0,0.00,0.00,0.00,0.00,0,1988,30.63,6.31,Aug,0,Wet
8/8/2018,SL,35.04,Z,0,0,0.00,0.00,0.00,0.00,0,1989,30.63,6.31,Aug,0,Wet
8/8/2018,SL,40.29,Z,0,0,0.00,0.00,0.00,0.00,0,1990,30.63,6.31,Aug,0,Wet
9/13/2018,SL,46.76,Z,0,0,0.00,0.00,0.00,0.00,0,1991,29.63,5.32,Sep,0,Wet
9/13/2018,SL,20.79,Z,0,0,0.00,0.00,0.00,0.00,0,1992,29.63,5.32,Sep,0,Wet
9/13/2018,SL,36.88,Z,0,0,0.00,0.00,0.00,0.00,0,1993,29.63,5.32,Sep,0,Wet
9/13/2018,SL,49.09,Z,0,0,0.00,0.00,0.00,0.00,0,1994,29.63,5.32,Sep,0,Wet
9/13/2018,SL,41.92,Z,0,0,0.00,0.00,0.00,0.00,0,1995,29.63,5.32,Sep,0,Wet
9/13/2018,SL,43.29,Z,0,0,0.00,0.00,0.00,0.00,0,1996,29.63,5.32,Sep,0,Wet
9/13/2018,SL,34.24,Z,0,0,0.00,0.00,0.00,0.00,0,1997,29.63,5.32,Sep,0,Wet
9/13/2018,SL,24.16,Z,0,0,0.00,0.00,0.00,0.00,0,1998,29.63,5.32,Sep,0,Wet
9/13/2018,SL,38.15,Z,0,0,0.00,0.00,0.00,0.00,0,1999,29.63,5.32,Sep,0,Wet
9/13/2018,SL,19.82,Z,0,0,0.00,0.00,0.00,0.00,0,2000,29.63,5.32,Sep,0,Wet
9/13/2018,SL,38.46,Z,0,0,0.00,0.00,0.00,0.00,0,2001,29.63,5.32,Sep,0,Wet
9/13/2018,SL,25.43,Z,0,0,0.00,0.00,0.00,0.00,0,2002,29.63,5.32,Sep,0,Wet
9/13/2018,SL,35.01,Z,0,0,0.00,0.00,0.00,0.00,0,2003,29.63,5.32,Sep,0,Wet
9/13/2018,SL,23.82,Z,0,0,0.00,0.00,0.00,0.00,0,2005,29.63,5.32,Sep,0,Wet
10/17/2018,SL,37.12,9.52,0,0,0.00,0.00,0.00,0.00,0,2006,28.37,14.81,Oct,0,Wet
10/17/2018,SL,34.66,9.81,0,0,0.00,0.00,0.00,0.00,0,2007,28.37,14.81,Oct,0,Wet
10/17/2018,SL,28.44,4.75,0,0,0.00,0.00,0.00,0.00,0,2008,28.37,14.81,Oct,0,Wet
10/17/2018,SL,27.68,4.72,0,0,0.00,0.00,0.00,0.00,0,2009,28.37,14.81,Oct,0,Wet
10/17/2018,SL,24.27,4.06,0,0,0.00,0.00,0.00,0.00,0,2010,28.37,14.81,Oct,0,Wet
10/17/2018,SL,25.26,3.15,0,0,0.00,0.00,0.00,0.00,0,2011,28.37,14.81,Oct,0,Wet
10/17/2018,SL,30.37,4.87,0,0,0.00,0.00,0.00,0.00,0,2012,28.37,14.81,Oct,0,Wet
10/17/2018,SL,25.42,2.74,0,0,0.00,0.00,0.00,0.00,0,2013,28.37,14.81,Oct,0,Wet
10/17/2018,SL,25.78,2.40,0,0,0.00,0.00,0.00,0.00,0,2014,28.37,14.81,Oct,0,Wet
10/17/2018,SL,26.26,2.36,0,0,0.00,0.00,0.00,0.00,0,2015,28.37,14.81,Oct,0,Wet
10/17/2018,SL,45.92,11.94,0,0,0.00,0.00,0.00,0.00,0,2016,28.37,14.81,Oct,0,Wet
10/17/2018,SL,23.76,2.05,0,0,0.00,0.00,0.00,0.00,0,2017,28.37,14.81,Oct,0,Wet
10/17/2018,SL,27.39,4.58,0,0,0.00,0.00,0.00,0.00,0,2018,28.37,14.81,Oct,0,Wet
10/17/2018,SL,25.19,4.02,0,0,0.00,0.00,0.00,0.00,0,2019,28.37,14.81,Oct,0,Wet
10/17/2018,SL,34.49,3.47,0,0,0.00,0.00,0.00,0.00,0,2020,28.37,14.81,Oct,0,Wet
11/7/2018,SL,45.10,8.41,0,0,0.00,0.00,0.00,0.00,0,2021,25.9,22.77,Nov,0,Dry
11/7/2018,SL,37.10,6.08,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2022,25.9,22.77,Nov,0.096910013,Dry
11/7/2018,SL,31.90,4.62,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2023,25.9,22.77,Nov,0.096910013,Dry
11/7/2018,SL,44.30,9.58,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2024,25.9,22.77,Nov,0.096910013,Dry
11/7/2018,SL,33.00,8.34,0,0,0.00,0.00,0.00,0.00,0,2025,25.9,22.77,Nov,0,Dry
11/7/2018,SL,31.70,4.20,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2026,25.9,22.77,Nov,0.096910013,Dry
11/7/2018,SL,39.70,3.54,0,0,0.00,0.00,0.00,0.00,0,2027,25.9,22.77,Nov,0,Dry
11/7/2018,SL,40.10,5.28,0,0,0.00,0.00,0.00,0.00,0,2028,25.9,22.77,Nov,0,Dry
11/7/2018,SL,25.60,4.54,0,0,0.00,0.00,0.00,0.00,0,2029,25.9,22.77,Nov,0,Dry
11/7/2018,SL,24.00,4.36,0,0,0.00,0.00,0.00,0.00,0,2030,25.9,22.77,Nov,0,Dry
11/7/2018,SL,39.50,10.35,0,0,0.00,0.00,0.00,0.00,0,2031,25.9,22.77,Nov,0,Dry
11/7/2018,SL,44.00,7.87,0,0,0.00,0.00,0.00,0.00,0,2032,25.9,22.77,Nov,0,Dry
11/7/2018,SL,37.20,7.38,0,0,0.00,0.00,0.00,0.00,0,2033,25.9,22.77,Nov,0,Dry
11/7/2018,SL,43.30,5.76,0,0,0.00,0.00,0.00,0.00,0,2034,25.9,22.77,Nov,0,Dry
11/7/2018,SL,33.00,5.95,0,0,0.00,0.00,0.00,0.00,0,2035,25.9,22.77,Nov,0,Dry
12/11/2018,SL,46.64,15.03,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2036,18.57,27.31,Dec,0.096910013,Dry
12/11/2018,SL,47.75,11.46,0,0,0.00,0.00,0.00,0.00,0,2037,18.57,27.31,Dec,0,Dry
12/11/2018,SL,43.82,15.05,0,0,0.00,0.00,0.00,0.00,0,2038,18.57,27.31,Dec,0,Dry
12/11/2018,SL,39.76,12.25,0,0,0.00,0.00,0.00,0.00,0,2039,18.57,27.31,Dec,0,Dry
12/11/2018,SL,36.65,13.95,0,0,0.00,0.00,0.00,0.00,0,2040,18.57,27.31,Dec,0,Dry
12/11/2018,SL,42.84,20.13,0,0,0.00,0.00,0.00,0.00,0,2041,18.57,27.31,Dec,0,Dry
12/11/2018,SL,26.57,7.62,0,0,0.00,0.00,0.00,0.00,0,2042,18.57,27.31,Dec,0,Dry
12/11/2018,SL,43.36,11.23,0,0,0.00,0.00,0.00,0.00,0,2043,18.57,27.31,Dec,0,Dry
12/11/2018,SL,50.44,17.62,0,0,0.00,0.00,0.00,0.00,0,2044,18.57,27.31,Dec,0,Dry
12/11/2018,SL,36.14,8.36,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2045,18.57,27.31,Dec,0.096910013,Dry
12/11/2018,SL,36.54,13.62,0,0,0.00,0.00,0.00,0.00,0,2046,18.57,27.31,Dec,0,Dry
12/11/2018,SL,52.65,23.38,0,0,0.00,0.00,0.00,0.00,0,2047,18.57,27.31,Dec,0,Dry
12/11/2018,SL,47.82,21.73,0,0,0.00,0.00,0.00,0.00,0,2048,18.57,27.31,Dec,0,Dry
12/11/2018,SL,32.97,11.92,0,0,0.00,0.00,0.00,0.00,0,2049,18.57,27.31,Dec,0,Dry
12/11/2018,SL,24.74,3.35,0,0,0.00,0.00,0.00,0.00,0,2050,18.57,27.31,Dec,0,Dry
1/9/2018,LX,73.10,46.98,2,3,1.00,1.00,1.00,2.50,0.707106781,2311,18.33,16.63,Jan,0.544068044,Dry
1/9/2018,LX,56.10,29.64,1,1,1.00,1.00,1.00,1.00,0,2312,18.33,16.63,Jan,0.301029996,Dry
1/9/2018,LX,50.40,33.58,1,1,1.00,1.00,1.00,1.00,0,2313,18.33,16.63,Jan,0.301029996,Dry
1/9/2018,LX,46.10,17.47,1,2,1.00,1.00,1.00,1.50,0.707106781,2314,18.33,16.63,Jan,0.397940009,Dry
1/9/2018,LX,56.30,25.88,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2315,18.33,16.63,Jan,0.096910013,Dry
1/9/2018,LX,38.80,17.94,0,0,0.00,0.00,0.00,0.00,0,2316,18.33,16.63,Jan,0,Dry
1/9/2018,LX,48.60,22.87,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2317,18.33,16.63,Jan,0.096910013,Dry
1/9/2018,LX,59.70,46.29,0,1,0.00,1.00,1.00,0.50,0.707106781,2318,18.33,16.63,Jan,0.176091259,Dry
1/9/2018,LX,50.50,33.88,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2319,18.33,16.63,Jan,0.096910013,Dry
1/9/2018,LX,51.30,31.47,1,1,1.00,1.00,1.00,1.00,0,2320,18.33,16.63,Jan,0.301029996,Dry
1/9/2018,LX,50.00,28.14,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2321,18.33,16.63,Jan,0.096910013,Dry
1/9/2018,LX,61.50,56.30,0,0,0.00,0.00,0.00,0.00,0,2322,18.33,16.63,Jan,0,Dry
1/9/2018,LX,54.90,27.12,1,2,1.00,1.00,1.00,1.50,0.707106781,2323,18.33,16.63,Jan,0.397940009,Dry
1/9/2018,LX,41.60,16.26,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2324,18.33,16.63,Jan,0.096910013,Dry
1/9/2018,LX,45.70,12.71,0.5,0,1.00,0.00,1.00,0.25,0.353553391,2325,18.33,16.63,Jan,0.096910013,Dry
2/6/2018,LX,63.30,59.95,1,1,1.00,1.00,1.00,1.00,0,2326,22.83,20.94,Feb,0.301029996,Dry
2/6/2018,LX,59.80,46.87,0,0,0.00,0.00,0.00,0.00,0,2327,22.83,20.94,Feb,0,Dry
2/6/2018,LX,60.00,51.91,1,1,1.00,1.00,1.00,1.00,0,2328,22.83,20.94,Feb,0.301029996,Dry
2/6/2018,LX,55.80,32.84,1,2,1.00,1.00,1.00,1.50,0.707106781,2329,22.83,20.94,Feb,0.397940009,Dry
2/6/2018,LX,44.40,21.61,2,2,1.00,1.00,1.00,2.00,0,2330,22.83,20.94,Feb,0.477121255,Dry
2/6/2018,LX,51.00,33.74,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2331,22.83,20.94,Feb,0.096910013,Dry
2/6/2018,LX,49.30,29.44,0,0,0.00,0.00,0.00,0.00,0,2332,22.83,20.94,Feb,0,Dry
2/6/2018,LX,49.60,28.81,2,1,1.00,1.00,1.00,1.50,0.707106781,2333,22.83,20.94,Feb,0.397940009,Dry
2/6/2018,LX,57.10,30.20,0,0,0.00,0.00,0.00,0.00,0,2334,22.83,20.94,Feb,0,Dry
2/6/2018,LX,62.40,38.36,1,2,1.00,1.00,1.00,1.50,0.707106781,2335,22.83,20.94,Feb,0.397940009,Dry
2/6/2018,LX,49.70,27.37,0,0,0.00,0.00,0.00,0.00,0,2336,22.83,20.94,Feb,0,Dry
2/6/2018,LX,56.40,38.82,1,1,1.00,1.00,1.00,1.00,0,2337,22.83,20.94,Feb,0.301029996,Dry
2/6/2018,LX,59.00,34.75,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2338,22.83,20.94,Feb,0.096910013,Dry
2/6/2018,LX,48.80,34.30,1,1,1.00,1.00,1.00,1.00,0,2339,22.83,20.94,Feb,0.301029996,Dry
2/6/2018,LX,53.60,24.59,0,0,0.00,0.00,0.00,0.00,0,2340,22.83,20.94,Feb,0,Dry
3/7/2018,LX,61.80,30.70,0,0,0.00,0.00,0.00,0.00,0,2341,22.9,28.53,Mar,0,Dry
3/7/2018,LX,47.30,17.54,0,0,0.00,0.00,0.00,0.00,0,2342,22.9,28.53,Mar,0,Dry
3/7/2018,LX,51.70,24.09,2,2,1.00,1.00,1.00,2.00,0,2343,22.9,28.53,Mar,0.477121255,Dry
3/7/2018,LX,45.20,19.53,0,0.5,0.00,1.00,1.00,0.25,0.353553391,2344,22.9,28.53,Mar,0.096910013,Dry
3/7/2018,LX,45.50,23.57,1,0.5,1.00,1.00,1.00,0.75,0.353553391,2345,22.9,28.53,Mar,0.243038049,Dry
3/7/2018,LX,57.70,60.62,1,2,1.00,1.00,1.00,1.50,0.707106781,2346,22.9,28.53,Mar,0.397940009,Dry
3/7/2018,LX,58.30,43.73,1,0.5,1.00,1.00,1.00,0.75,0.353553391,2347,22.9,28.53,Mar,0.243038049,Dry
3/7/2018,LX,71.00,46.01,0,0,0.00,0.00,0.00,0.00,0,2348,22.9,28.53,Mar,0,Dry
3/7/2018,LX,56.00,33.92,0,0,0.00,0.00,0.00,0.00,0,2349,22.9,28.53,Mar,0,Dry
3/7/2018,LX,57.80,39.55,0,0,0.00,0.00,0.00,0.00,0,2350,22.9,28.53,Mar,0,Dry
3/7/2018,LX,51.50,25.34,0,0,0.00,0.00,0.00,0.00,0,2351,22.9,28.53,Mar,0,Dry
3/7/2018,LX,45.20,35.76,0,0,0.00,0.00,0.00,0.00,0,2352,22.9,28.53,Mar,0,Dry
