Site,Height,Length,Total,GonadArea,GonadPercent,Sex,Stage,OocyteDiam,Parasite,Month,Sample,LogGonad,Temp,Sal,Season,PercentDiv
AB,17.33,22.28,318.41,146.41,45.98,F,2,32.82,No,May,711,2.17,24.28,16.76,Wet,0.459812969
AB,10.69,11.49,102.78,72.61,70.65,F,2,32.56,No,May,713,1.87,24.28,16.76,Wet,0.706476364
AB,13.40,12.84,143.45,0.00,0.00,M,Z,Z,Buceph,May,714,0.00,24.28,16.76,Wet,0
AB,11.69,10.13,99.92,41.68,41.71,F,2,30.86,Yes,May,715,1.63,24.28,16.76,Wet,0.417135382
AB,16.89,16.05,221.63,115.58,52.15,M,2,Z,Yes,May,716,2.07,24.28,16.76,Wet,0.521497575
AB,14.35,12.88,165.19,119.02,72.05,F,2,32.60,No,May,717,2.08,24.28,16.76,Wet,0.720494379
AB,21.13,14.05,239.66,140.24,58.52,F,2,30.94,No,May,718,2.15,24.28,16.76,Wet,0.585183731
AB,20.15,16.72,271.75,0.00,0.00,F,Z,Z,Buceph,May,720,0.00,24.28,16.76,Wet,0
AB,12.18,10.73,110.32,38.39,34.80,M,2,Z,No,May,722,1.60,24.28,16.76,Wet,0.347961516
AB,16.37,14.46,182.60,94.44,51.72,F,2,30.29,Yes,Jun,726,1.98,28.4,18.87,Wet,0.517219177
AB,13.39,12.89,129.22,23.55,18.23,F,2,30.30,No,Jun,727,1.39,28.4,18.87,Wet,0.182282967
AB,9.39,8.86,63.07,21.12,33.48,M,2,Z,No,Jun,730,1.34,28.4,18.87,Wet,0.334846565
AB,13.34,11.84,127.08,17.32,13.63,F,3,30.53,No,Jun,731,1.26,28.4,18.87,Wet,0.136282199
AB,11.34,11.84,103.83,26.97,25.98,F,2,31.61,No,Jun,733,1.45,28.4,18.87,Wet,0.259764693
AB,6.51,6.95,43.29,16.03,37.03,M,2,Z,No,Jun,736,1.23,28.4,18.87,Wet,0.370250816
AB,12.46,12.00,119.57,10.87,9.09,F,3,16.97,No,Jun,739,1.07,28.4,18.87,Wet,0.090925704
AB,14.67,14.36,156.02,31.18,19.99,F,2,30.57,Yes,Jun,743,1.51,28.4,18.87,Wet,0.199871143
AB,14.59,13.13,161.03,44.26,27.49,F,2,30.18,Yes,Jun,748,1.66,28.4,18.87,Wet,0.274885112
AB,13.79,14.84,185.53,58.94,31.77,F,2,30.74,No,Jul,753,1.78,29.24,15.08,Wet,0.317678488
AB,14.43,13.60,157.85,30.17,19.11,F,2,28.72,No,Jul,754,1.49,29.24,15.08,Wet,0.191129555
AB,10.93,9.66,87.24,36.06,41.34,M,2,Z,Yes,Jul,755,1.57,29.24,15.08,Wet,0.413350897
AB,13.88,11.42,124.05,72.85,58.73,M,2,Z,Yes,Jul,756,1.87,29.24,15.08,Wet,0.587313535
AB,14.33,15.38,171.06,91.69,53.60,F,2,29.97,No,Jul,761,1.97,29.24,15.08,Wet,0.535994446
AB,14.62,12.72,141.20,50.61,35.84,F,2,27.29,No,Jul,762,1.71,29.24,15.08,Wet,0.358426035
AB,15.36,12.68,146.89,90.94,61.91,F,2,29.92,No,Jul,764,1.96,29.24,15.08,Wet,0.619128646
AB,16.21,15.91,215.60,91.48,42.43,F,2,27.47,Yes,Jul,768,1.97,29.24,15.08,Wet,0.424312074
AB,13.45,11.51,125.05,34.18,27.33,F,2,29.17,Yes,Jul,769,1.55,29.24,15.08,Wet,0.273340759
AB,11.71,14.33,131.09,59.11,45.09,F,2,29.95,No,Jul,770,1.78,29.24,15.08,Wet,0.450880196
AB,15.06,13.74,159.51,77.84,48.80,M,2,Z,Yes,Jul,771,1.90,29.24,15.08,Wet,0.487959716
AB,14.19,12.31,137.96,47.18,34.20,F,2,27.75,Yes,Jul,772,1.68,29.24,15.08,Wet,0.341987097
AB,12.74,17.07,152.83,33.60,21.99,F,2,25.91,No,Aug,776,1.54,30.04,22.16,Wet,0.219876392
AB,13.67,15.67,151.72,57.09,37.63,M,2,Z,No,Aug,777,1.76,30.04,22.16,Wet,0.37630362
AB,11.58,9.99,92.78,37.06,39.94,M,2,Z,No,Aug,778,1.58,30.04,22.16,Wet,0.399428019
AB,16.96,15.02,207.22,44.85,21.64,F,3,23.23,No,Aug,783,1.66,30.04,22.16,Wet,0.216443724
AB,15.58,13.90,169.88,50.35,29.64,F,2,28.03,Yes,Aug,784,1.71,30.04,22.16,Wet,0.296390279
AB,13.07,11.03,123.69,40.28,32.57,F,2,28.47,Yes,Aug,791,1.62,30.04,22.16,Wet,0.325665525
AB,11.85,13.05,121.48,36.31,29.89,F,2,27.89,Yes,Aug,795,1.57,30.04,22.16,Wet,0.298911529
AB,10.31,9.49,73.19,31.90,43.58,M,2,Z,Yes,Aug,796,1.52,30.04,22.16,Wet,0.43580638
AB,11.66,11.30,105.03,25.35,24.14,F,2,28.06,No,Aug,799,1.42,30.04,22.16,Wet,0.241358097
AB,11.94,12.99,126.35,19.72,15.61,F,3,26.28,Yes,Aug,800,1.32,30.04,22.16,Wet,0.156079139
AB,12.80,10.55,113.40,0.00,0.00,Z,Z,Z,Buceph,Sep,806,0.00,27.82,26.47,Wet,0
AB,13.87,9.85,111.25,0.00,0.00,Z,Z,Z,Buceph,Sep,807,0.00,27.82,26.47,Wet,0
AB,15.73,14.10,192.53,0.00,0.00,Z,Z,Z,Buceph,Sep,809,0.00,27.82,26.47,Wet,0
AB,13.03,8.72,95.53,39.18,41.01,F,2,30.29,No,Sep,810,1.60,27.82,26.47,Wet,0.410126988
AB,9.70,9.26,78.85,20.18,25.59,F,2,27.66,No,Sep,812,1.33,27.82,26.47,Wet,0.255921507
AB,11.99,9.59,91.43,16.59,18.14,F,2,28.87,Yes,Sep,813,1.25,27.82,26.47,Wet,0.181436656
AB,13.24,8.42,90.11,0.00,0.00,Z,Z,Z,Buceph,Sep,814,0.00,27.82,26.47,Wet,0
AB,12.81,8.74,95.23,0.00,0.00,F,Z,Z,Buceph,Sep,815,0.00,27.82,26.47,Wet,0
AB,10.93,6.80,68.54,19.72,28.77,F,2,28.69,No,Sep,818,1.32,27.82,26.47,Wet,0.287692691
AB,9.06,5.91,42.66,0.00,0.00,F,Z,Z,Buceph,Sep,821,0.00,27.82,26.47,Wet,0
AB,12.22,9.92,104.61,27.15,25.95,F,2,29.60,Yes,Sep,824,1.45,27.82,26.47,Wet,0.259542473
AB,8.25,5.63,37.26,21.75,58.37,F,2,30.60,No,Sep,825,1.36,27.82,26.47,Wet,0.583669636
AB,14.08,11.84,124.16,38.93,31.35,F,2,30.40,No,Oct,828,1.60,28.94,28.39,Wet,0.313517727
AB,10.74,12.04,99.38,0.00,0.00,F,Z,Z,Buceph,Oct,830,0.00,28.94,28.39,Wet,0
AB,12.28,10.26,95.68,38.93,40.68,F,2,31.15,No,Oct,831,1.60,28.94,28.39,Wet,0.406832419
AB,13.05,13.09,130.37,51.49,39.50,F,2,32.09,No,Oct,835,1.72,28.94,28.39,Wet,0.394960569
AB,8.45,7.38,45.72,0.00,0.00,Z,Z,Z,Buceph,Oct,836,0.00,28.94,28.39,Wet,0
AB,16.04,14.23,181.83,0.00,0.00,Z,Z,Z,Buceph,Oct,837,0.00,28.94,28.39,Wet,0
AB,12.62,11.97,125.60,0.00,0.00,Z,Z,Z,Buceph,Oct,838,0.00,28.94,28.39,Wet,0
AB,16.11,13.43,162.96,0.00,0.00,Z,Z,Z,Buceph,Oct,841,0.00,28.94,28.39,Wet,0
AB,14.13,13.47,150.49,86.73,57.63,M,2,Z,No,Oct,843,1.94,28.94,28.39,Wet,0.576309234
AB,11.57,14.69,138.36,17.93,12.96,F,3,33.27,No,Oct,844,1.28,28.94,28.39,Wet,0.129560311
AB,18.28,13.16,196.15,55.13,28.11,F,2,32.76,No,Oct,846,1.75,28.94,28.39,Wet,0.281053824
AB,14.45,12.52,136.26,0.00,0.00,Z,Z,Z,Buceph,Oct,848,0.00,28.94,28.39,Wet,0
AB,16.51,18.68,248.55,0.00,0.00,Z,Z,Z,Buceph,Nov,854,0.00,23.14,15.48,Dry,0
AB,12.54,14.79,131.50,5.69,4.33,F,1,11.15,No,Nov,856,0.83,23.14,15.48,Dry,0.043268829
AB,14.59,11.83,140.34,20.86,14.86,F,1,24.54,No,Nov,859,1.34,23.14,15.48,Dry,0.148645113
AB,14.37,12.61,149.48,0.00,0.00,F,Z,Z,Buceph,Nov,862,0.00,23.14,15.48,Dry,0
AB,13.44,14.28,151.88,0.00,0.00,Z,Z,Z,Buceph,Nov,864,0.00,23.14,15.48,Dry,0
AB,15.09,15.86,200.63,0.00,0.00,F,Z,Z,Buceph,Nov,867,0.00,23.14,15.48,Dry,0
AB,10.91,12.71,104.72,0.00,0.00,Z,Z,Z,Buceph,Nov,868,0.00,23.14,15.48,Dry,0
AB,16.83,19.75,252.23,0.00,0.00,Z,Z,Z,Buceph,Nov,871,0.00,23.14,15.48,Dry,0
AB,16.83,13.75,188.96,0.00,0.00,Z,Z,Z,Buceph,Dec,873,0.00,16.71,7.38,Dry,0
AB,16.32,18.63,223.91,0.00,0.00,F,Z,Z,Buceph,Dec,875,0.00,16.71,7.38,Dry,0
AB,15.31,13.95,173.14,0.00,0.00,Z,Z,Z,Buceph,Dec,876,0.00,16.71,7.38,Dry,0
AB,12.31,9.83,107.08,0.00,0.00,Z,Z,Z,Buceph,Dec,877,0.00,16.71,7.38,Dry,0
AB,15.57,12.48,160.12,0.00,0.00,F,Z,Z,Buceph,Dec,879,0.00,16.71,7.38,Dry,0
AB,13.26,12.67,136.08,0.00,0.00,F,Z,Z,Buceph,Dec,881,0.00,16.71,7.38,Dry,0
AB,13.80,14.08,173.95,0.00,0.00,F,Z,Z,Buceph,Dec,882,0.00,16.71,7.38,Dry,0
AB,14.69,14.64,186.54,0.00,0.00,F,Z,Z,Buceph,Dec,884,0.00,16.71,7.38,Dry,0
AB,16.76,17.10,234.00,0.00,0.00,Z,Z,Z,Buceph,Dec,886,0.00,16.71,7.38,Dry,0
AB,16.36,13.95,188.34,0.00,0.00,F,Z,Z,Buceph,Dec,890,0.00,16.71,7.38,Dry,0
AB,10.72,10.74,101.24,0.00,0.00,Z,4,Z,No,Dec,892,0.00,16.71,7.38,Dry,0
AB,11.88,11.35,111.58,0.00,0.00,Z,4,Z,No,Dec,893,0.00,16.71,7.38,Dry,0
LX,7.26,7.66,44.93,0.00,0.00,Z,4,Z,No,Jan,2312,0.00,18.33,16.63,Dry,0
LX,7.04,6.01,31.83,0.00,0.00,Z,4,Z,No,Jan,2315,0.00,18.33,16.63,Dry,0
LX,8.59,8.48,58.87,0.00,0.00,Z,4,Z,No,Jan,2318,0.00,18.33,16.63,Dry,0
LX,7.43,7.84,45.42,1.32,2.91,F,3,34.43,No,Jan,2320,0.37,18.33,16.63,Dry,0.029109639
LX,7.34,6.47,32.92,0.00,0.00,Z,4,Z,No,Jan,2321,0.00,18.33,16.63,Dry,0
LX,10.04,5.95,47.07,0.54,1.14,F,1,10.69,No,Jan,2323,0.19,18.33,16.63,Dry,0.011417418
LX,5.76,6.11,28.03,0.06,0.22,M,3,Z,No,Jan,2325,0.03,18.33,16.63,Dry,0.002196238
LX,8.42,10.29,71.54,3.14,4.38,F,1,18.05,No,Feb,2326,0.62,22.83,20.94,Dry,0.043844317
LX,8.42,9.09,59.15,2.04,3.46,F,1,17.44,No,Feb,2329,0.48,22.83,20.94,Dry,0.034571087
LX,9.10,9.52,66.11,0.49,0.75,F,1,7.53,No,Feb,2331,0.17,22.83,20.94,Dry,0.007479461
LX,6.05,7.53,38.26,0.00,0.00,Z,4,Z,No,Feb,2336,0.00,22.83,20.94,Dry,0
LX,7.65,5.20,35.67,0.00,0.00,Z,4,Z,No,Feb,2337,0.00,22.83,20.94,Dry,0
LX,7.68,8.53,51.36,0.85,1.65,F,1,6.66,No,Feb,2339,0.27,22.83,20.94,Dry,0.016485819
