Site,Sample Number,Station ,SH mm,SL mm,SW mm,Total Weight (g),Tare Pan Wt (g),Tissue Wet Wt (g),Shell Wet Wt (g),Tissue Dry Wt (g),Shell Dry Wt (g),Final Tissue Dry Wt (g),Condition Index,Month,Temp,Sal,LogCon,Season
TB,2791,3,51.7,32.6,18.11,16.99,1.01,3.64,11.25,1.32,10.19,0.31,3.04,Sep,31.03,26.32,0.606381365,Wet
TB,2792,3,63.64,35.76,25.75,32.11,1.05,5.17,21.49,1.55,19.57,0.5,2.55,Sep,31.03,26.32,0.550228353,Wet
TB,2793,3,56.39,46.98,25.43,36.29,1.04,6.48,25.29,1.56,21.27,0.52,2.44,Sep,31.03,26.32,0.536558443,Wet
TB,2794,3,55.36,35.51,22.1,24.01,1.05,4.63,17.4,1.6,15.22,0.55,3.61,Sep,31.03,26.32,0.663700925,Wet
TB,2795,3,51.14,40.65,24.35,23.82,1.03,3.9,17.47,1.39,15.34,0.36,2.35,Sep,31.03,26.32,0.525044807,Wet
TB,2796,4,56.39,46.78,19.3,19.98,1.03,4.75,13.85,1.49,13.02,0.46,3.53,Sep,31.03,26.32,0.656098202,Wet
TB,2797,4,54.13,38.94,17.88,21.36,1.03,5.06,14.02,1.6,13.24,0.57,4.31,Sep,31.03,26.32,0.725094521,Wet
TB,2798,4,50.18,29.03,12.33,12.54,1.03,2.81,9.04,1.25,8.66,0.22,2.54,Sep,31.03,26.32,0.549003262,Wet
TB,2799,4,53.32,36.78,18.7,21.78,1.01,4.93,14.81,1.41,13.82,0.4,2.89,Sep,31.03,26.32,0.589949601,Wet
TB,2800,4,48.28,29.45,15.41,13.35,1.03,3.71,8.85,1.35,8.1,0.32,3.95,Sep,31.03,26.32,0.694605199,Wet
TB,2801,5,51.14,42.6,23.83,34.9,1.03,8.18,26.11,1.93,22.85,0.9,3.94,Sep,31.03,26.32,0.693726949,Wet
TB,2802,5,60.79,38.85,21.13,30.34,1.04,5.97,23.06,1.71,19.45,0.67,3.44,Sep,31.03,26.32,0.64738297,Wet
TB,2803,5,55.58,39.57,24.93,26.56,1.03,5.91,18.77,1.72,15.56,0.69,4.43,Sep,31.03,26.32,0.73479983,Wet
TB,2804,5,68.8,46.04,29.01,47.16,1.04,10.69,31.57,2.28,26.96,1.24,4.6,Sep,31.03,26.32,0.748188027,Wet
TB,2805,5,49.75,31.31,21.09,20.18,1.01,5.42,14.03,1.62,11.76,0.61,5.19,Sep,31.03,26.32,0.791690649,Wet
TB,2806,1,41.22,29.1,16.51,12.28,1.03,3.47,8.14,1.27,7.57,0.24,3.17,Oct,28.1,27.68,0.620136055,Wet
TB,2807,1,50.66,24.07,20.19,17.6,1.04,3.72,12.72,1.32,11.8,0.28,2.37,Oct,28.1,27.68,0.527629901,Wet
TB,2808,1,53.7,32.5,23.5,24.84,1.04,4.41,16.58,1.32,14.97,0.28,1.87,Oct,28.1,27.68,0.457881897,Wet
TB,2809,1,38.03,26.89,15.9,10.58,1.04,3.02,6.92,1.27,6.23,0.23,3.69,Oct,28.1,27.68,0.671172843,Wet
TB,2810,1,41.25,28.23,15.94,10.32,1.04,2.52,6.86,1.17,6.49,0.13,2,Oct,28.1,27.68,0.477121255,Wet
TB,2811,2,44.4,37.91,19.38,19.87,1.01,5.05,13.16,1.48,12.46,0.47,3.77,Oct,28.1,27.68,0.678518379,Wet
TB,2812,2,53.37,31.68,14.59,21.43,1.04,4.45,16.37,1.4,15.09,0.36,2.39,Oct,28.1,27.68,0.530199698,Wet
TB,2813,2,57.15,39.83,22.4,32.25,1.02,7.89,21.31,1.71,20.47,0.69,3.37,Oct,28.1,27.68,0.640481437,Wet
TB,2814,2,45.58,35.51,18.61,14.25,1.03,4.11,9.94,1.5,9.48,0.47,4.96,Oct,28.1,27.68,0.77524626,Wet
TB,2815,2,51.12,37.45,17.21,20.88,1.04,5.28,15.07,1.5,13.15,0.46,3.5,Oct,28.1,27.68,0.653212514,Wet
TB,2816,3,74.5,39.5,19.16,31.49,1.04,5.97,22.38,1.63,19.31,0.59,3.06,Oct,28.1,27.68,0.608526034,Wet
TB,2817,3,39.31,29.03,17.22,14.35,1.06,3.43,10.68,1.39,8.77,0.33,3.76,Oct,28.1,27.68,0.677606953,Wet
TB,2818,3,57.08,36.43,20.43,28.57,1.05,4.34,21.08,1.45,18.28,0.4,2.19,Oct,28.1,27.68,0.503790683,Wet
TB,2819,3,56.76,39.65,31.18,34.07,1.03,6.25,23.12,1.48,20.2,0.45,2.23,Oct,28.1,27.68,0.509202522,Wet
TB,2820,3,62.5,38.41,20.55,26.86,1.04,5.94,17.12,1.6,15.58,0.56,3.59,Oct,28.1,27.68,0.661812686,Wet
TB,2821,4,46.98,37.72,15.71,13.41,1.03,4.11,8.66,1.44,8.22,0.41,4.99,Oct,28.1,27.68,0.777426822,Wet
TB,2822,4,56.59,34.92,18.32,31.47,1.04,6.85,22.11,1.55,21.05,0.51,2.42,Oct,28.1,27.68,0.534026106,Wet
TB,2823,4,42.16,32.16,17.99,13.35,1.03,3.56,9.3,1.34,8.5,0.31,3.65,Oct,28.1,27.68,0.667452953,Wet
TB,2824,4,57.3,32.2,12.09,17.9,1.06,5.04,12.44,1.54,11.56,0.48,4.15,Oct,28.1,27.68,0.711807229,Wet
TB,2825,4,50.71,36.28,15.79,20.16,1.04,4.82,14.06,1.51,13.17,0.47,3.57,Oct,28.1,27.68,0.6599162,Wet
TB,2826,5,54.36,44.58,27.24,39.8,1.02,9.06,28.41,2.05,22.84,1.03,4.51,Oct,28.1,27.68,0.741151599,Wet
TB,2827,5,55.35,33.86,20.13,23.9,1.03,5.91,15.72,1.59,14.56,0.56,3.85,Oct,28.1,27.68,0.685741739,Wet
